Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
2013/1/1,0.271302421,0.021000585,0.906613303,0.066093549,0.089592174,0,0,0.190764084,0.014746044,0.070273025,0.111616311,0.082671657,0.016350821,0.014480429,0.815860603,0,0.115646865,0.044532046,0.160814611,0,0.153493059,0.354595461,0.946985504,0.852526539,0,0,0.011187796,1.130349133,0.072786367,0.272967724,0.011002485,0.032897636,0.010435565,0.2003366,0,0.056337326,0,0.336475145,0.506928875,0.921252768,0.013421558,1.096247029,0.241702204,0.273003969,1.848092962,0.48732193,0.074394289,0.314298354,0.280800095,0.470801357
2013/2/1,0.060083519,0.043688027,1.161451727,0.138353062,0,0,0.034918044,0.051964898,0.039887379,0.014539834,0.110310039,0,0,0,0.935803071,0,0.025077434,0,0.090651455,0.058099627,0.061855551,0.251915011,0.463400073,0.444133288,0.01062671,0.012224192,0.022481473,0.872609284,0.056803301,0.375281929,0.042975366,0.018180924,0,0.096547702,0,0,0,0.212923581,0.077597582,0.146528636,0.03088885,0.331337599,0.129335394,0,0.974085148,0.17344752,0,0.091940416,0.285418799,0.322590129
2013/3/1,0,0.032321823,1.275433449,0.257895343,0,0.118595861,0.019704994,0.109944949,0.011954176,0.041081719,0.081840466,0.040165734,0,0.027854994,0.836384645,0.041652463,0.357617402,0.084012905,0.411058232,0.040701173,0.037746716,0.209918382,0.807779794,1.141550548,0.059123997,0,0.01415122,0.980928726,0.03420265,0.381616831,0,0.064940602,0.011319925,0.152164454,0,0.068334214,0,0.212118261,0.03748448,0.050474912,0.179520151,0.175411269,0.089638661,0,0.911342997,0.182350176,0.012214376,0.091727018,0.25613346,0.352998853
2013/4/1,0.411691591,0.081686214,0.17856783,0.275156239,0,0,0,0.222454073,0.033061067,0.094579374,0.117671566,0,0,0,1.677349582,0,0.114840603,0,0.496434845,0,0,0.679188711,0.696972821,1.047272243,0.097705543,0.180230021,0.131361347,0.911939399,0.455434532,0.03811628,0.118596564,0.015306658,0.042073779,0.211675175,0.013286338,0,0,0.183927556,0.027220177,0.173285934,0.018197218,0.117208509,0.302262143,0,1.04048264,0.161318474,0.085032646,0.037440131,0.16118446,0.473927616
2013/5/1,0.262758821,0.21833762,0.612858697,0.355694791,0.169098455,0.010057683,0.133306781,0.348234702,0.562144661,0.022950422,0.72149709,0,0.041310564,0.411700406,1.894809792,0.010842081,0.17862523,0.060489366,0.473865399,0.014734096,0.161393384,0.422004984,3.943826797,0.801516579,0.239123357,0.022863129,0.022743389,2.239869231,0.8589101,0.226131245,0.086090455,0.147040712,0.025336377,0.30265777,0,0.028007822,0,1.183328905,0.167193518,0.604558664,0.033795189,0.387537796,0.811178898,0.0102323,1.964350113,0.74544185,0.076524366,0.548401433,0.368122072,0.657230562
2013/6/1,0.416507895,0.073264557,0.314129266,0.297922773,0.040252403,0.013551894,0.116062371,0.840442147,0.143566169,0.029359021,0.405744214,0,0,0.428173941,1.794469712,0.104383029,0.057192177,0,0.71060675,0,0.048917077,0.405421741,3.08552211,0.883109544,0.174663997,0.019780315,0.021223675,1.943503805,1.24573596,0.569080676,0.246486639,0,0.020948783,0.237010643,0.157753518,0.055200875,0,0.633950964,0.077204534,0.421661671,0.130721239,0.491890606,0.695785411,0,2.302832259,0.550315887,0.070524892,0.073804615,0.651904981,0.708570862
2013/7/1,2.1406484,0.108854617,0.921407606,0.436489062,0.081610458,0.040771348,0.064049657,0.819721205,0.210152994,0.251422217,0.952615353,0,0,0.195403024,1.166439326,0.066845542,0.276889974,0.025927961,0.50050265,0,0.178735945,0.440259981,1.933175928,1.353855177,0.223148068,0.134074829,0.234397833,2.036603358,0.070634522,0.460946814,0.206537058,0.186984145,0,0.216728538,0.035613663,0.025034185,0.023335785,2.084723707,0.489790337,1.200065117,0.059373289,0.772755587,0.173967463,0,4.068800308,0.379186722,0.060382215,0.293029264,0.832302301,0.787134811
2013/8/1,0.764194269,0.015784986,0.595559021,0.390952943,0,0.021433629,0.044055185,1.824252934,0.328137977,0.078997446,0.17076772,0,0,0,1.564703153,0,0.242660875,0.010783132,0.354418327,0.117096432,0.112839162,0.430527363,2.660777972,0.652018666,0.02831559,0.083175304,0.138816088,2.543016504,0.81889482,0.460564975,0.235625763,0.046129629,0,0.266088298,0.143384039,0.037420216,0.038081297,0.953599581,0.403537286,0.709465606,0.211337663,0.700338449,2.369079668,0.084955193,3.312707307,0.353118298,0.097096453,0.287793824,0.788328547,0.664063557
2013/9/1,1.388069635,0.114125304,0.701199275,0.446375596,0.11102812,0.094167382,0.201489438,0.626817379,0.306188041,0.094250217,0.626363369,0,0.01873384,0.515880853,1.519813785,0.170556682,0.791181058,0.064185192,0.651499584,0.024713615,0.113484778,0.656639535,4.66497792,1.564910332,0.259461516,0.025258559,0.046014643,2.701882867,0.299511429,0.654963315,0.201534504,0.063819168,0,0.55140237,0.030654351,0,0.010874849,1.527473199,0.617125062,1.034460713,0.017576009,0.710417789,0.255230876,0.242116261,4.128961911,0.416469248,0.054066129,0.198521934,1.167069657,0.562909834
2013/10/1,0.820534047,0.018198252,0.226009022,0.046901895,0.141820679,0.041533498,0.03208933,0.084118769,0.137179642,0.160158955,0.713778787,0,0,0.016066555,0.786906556,0.012110515,0.220805597,0,0.411739111,0.023814498,0.053888677,0.326877611,1.327419418,1.133605033,0.071362444,0.202343899,0.173613474,1.749426821,0,0.592852799,0.016723616,0.012651674,0.031358234,0.039237501,0,0,0,0.991831233,0.676363106,0.389458085,0,0.347428885,0.069632662,0,2.175984105,0.205796083,0.078311667,0.016713275,0.244865782,0.167008634
