Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
2013/1/1,0.002004155,7.16E-05,0.043174149,-0.00037458,-0.008959217,0,0,0.012051206,0.003251856,0.004105221,0.00584281,0.00011409,0.000141743,0.000951293,0.038339032,0,-0.004145797,0.001508123,0.003680473,0,-0.003421732,0.0125777,0.089675115,0.027700653,0,0,0.000406362,0.0500358,0.0139251,0.01279017,9.54E-05,0.000868488,-0.000381603,0.012209404,0,-8.48E-05,0,0.022412468,0.000437754,0.033646176,0.002959596,0.050779683,0.040450247,0.007164149,0.094909418,0.014294948,0.004159001,0.026750683,0.011848855,0.017735924
2013/2/1,0.002895203,0.00022741,0.052767102,0.007318791,0,0,0.001624449,0.004909532,0.001307015,0.001055322,0.003592827,0,0,0,0.050917323,0,0,0,0.006066273,0.004216999,0.003912496,0.000987566,0.022824587,0.029040989,0,0.001913455,0.001631715,0.028196286,0.004480801,0.022203568,0.001466324,0.002845867,0,0.006944702,0,0,0,0.007431277,0.00187144,0.005649835,0.001116211,0.019742968,0.006951937,0,0.054763432,0.012022758,0,0.006706157,0.012494855,0.013144976
2013/3/1,0,-8.15E-05,0.055543424,-0.000142061,0,-0.000329433,0.000699182,0.003581968,0.000405292,0,0.001611063,0,0,0.001395602,-0.004943667,0.003037159,-0.008732771,0.000101865,-0.00043359,0,0.000611103,0.000367593,0.0287558,-0.027505919,0.003215614,0,0.00105798,0.018904193,-0.000997696,0.009646965,0,0.004704878,-3.14E-05,0.002758062,0,-0.003054331,0,-0.005820269,-0.001443169,0.002250043,0.005841092,0.007068578,0.00070203,0,0.003154803,0.000403017,0.000890632,-0.006605516,0.011474843,-0.002294875
2013/4/1,0.007118216,0.004540094,0.021259238,0.027637451,0,0,0,0.014677513,0.004201921,0.003611636,0.014500449,0,0,0,0.229120949,0,0.01203462,0,0.034338575,0,0,0.077495829,0.078754997,0.065219677,0.020943389,0.000394253,0.005303151,0.094434965,0.014174722,0.005776996,0.003924446,-0.000527852,0.00306199,0.033703773,0.002600938,0,0,0.021991022,0.003280935,0.000258738,0.001772926,0.017709387,0.047050096,0,0.068567441,0.013842403,0.001371532,0.004153231,0.018720168,0.042586776
2013/5/1,0.007410684,0.00591544,0.059465727,0.022066859,0.020632243,0.001492505,0.005418316,0.047148415,0.077064596,8.20E-05,0.060134555,0,0.008036782,0.035428659,0.23586551,0.001704372,0.013012133,0.001865382,0.044409996,0.001852074,0.018441482,0.065890909,0.454178054,0.052178632,0.012424181,0.002481984,-0.00053068,0.259377495,0.170422399,0.010598073,0.014504614,0.001625046,0.00269611,0.032928599,0,0.004041376,0,0.064459993,0.00920458,0.021271674,0.001741345,0.032755725,0.125421942,0.001174808,0.188586555,0.080800577,0.01133777,0.065117217,0.040268598,0.080250951
2013/6/1,0.023884919,0.006227085,0.033824537,0.025252601,0.005221206,0.000804294,0.01065651,0.03564004,0.010585965,0.003465444,0.042700254,0,0,0.00984977,0.270924052,0.009764623,0.007188738,0,0.059154642,0,0.002703931,0.037667473,0.33332897,0.058228674,0.016825654,0.00216713,0.00127517,0.184718222,0.244305942,0.060679308,0.037791444,0,0.002902933,0.023642523,0.010453363,0.010352715,0,0.057473736,0.004428809,0.060058268,0.009235951,0.053304627,0.106993099,0,0.18921379,0.042749132,0.008257502,0.003177403,0.083331469,0.101188144
2013/7/1,0.063459047,0.004116493,0.041614633,0.021662591,0.000311386,0.001905215,0.004629738,0.084526748,0.01469065,0.001819213,0.051244306,0,0,0.023698217,0.070085857,-0.001608039,0.001074481,0.000472602,0.031196502,0,0.007009756,0.025263797,0.112094323,0.044226698,0.016880472,0.009466443,0.011078497,0.11554486,0.005846706,0.028364209,0.008947642,0.010290413,0,0.00780046,0.000557112,0.001502123,0.00032653,0.070957439,0.013249167,0.038088739,0.004298737,0.037434065,0.010373634,0,0.167099571,0.022429774,0.002959475,0.009284936,0.051768838,0.054598896
2013/8/1,0.02006576,0.001252129,0.035687995,0.006805662,0,0.002402324,0.001081953,0.052193789,0.031404919,0.00787371,0.008778263,0,0,0,0.240531228,0,0.011845131,0.001262032,0.026890137,0.019112938,0.002645052,0.048455166,0.465933248,0.024173367,0.0072035,0.007130088,-0.004428012,0.301066237,0.202849446,0.034690971,0.036164947,0.001592284,0,0.018226595,0.000536652,0.000562361,0.00297157,0.071382898,0.02583886,0.078847191,0.015407336,0.070465304,0.739314049,0.008495559,0.254928786,0.043067033,0.028005355,0.035256454,0.105233552,0.035385219
2013/9/1,0.001666885,0.009343036,0.04774843,0.041337736,0.005071315,0.004412759,0.015830677,0.05284405,0.022994603,0.003819966,0.055529667,0,0.001633456,0.027094851,0.123938107,0.018975116,0.005624356,0.005170512,0.002733171,0.000166723,0.000521851,0.024302126,0.445797238,0.021227368,0.02220875,-0.001905465,0.003788343,0.148632377,0.01230701,0.022088914,0.023872691,0.003161851,0,0.030531562,4.23E-05,0,-2.78E-05,0.090506916,0.024410652,0.040644428,0.003122074,0.034909841,0.017433063,-0.003493507,0.1208616,0.022973751,0.0047141,0.01522553,0.065319245,0.008442684
2013/10/1,0.064543161,0.003172314,0.029826362,0.00550568,0.0099485,0.001630809,0.00273768,0.006389769,0.010944831,0.011928343,0.056924393,0,0,-0.000533188,0.091097291,0.000622985,0.01468962,0,0.043572539,0.003342676,0.004430241,0.04477971,0.153969197,0.090299026,0.002261888,0.009880999,0.004333577,0.199688733,0,0.057200943,0.001958011,0.000443217,0.003916753,0.001714612,0,0,0,0.068518074,0.032173167,0.023814975,0,0.034317908,0.008028978,0,0.186109646,0.015447681,0.008730692,0.000859747,0.025986822,0.011980271
