Year,NY,NJ,CT
2000,36028,39257,43102
2001,37194,40306,45223
2002,37008,40626,44914
2003,37459,41425,45254
2004,39185,43208,47557
2005,40905,44775,50035
2006,44179,48015,53945
2007,47520,50723,57861
2008,48328,52005,61165
2009,47277,50149,59973
2010,48973,51420,62090
2011,51496,53694,63799
2012,53986,55587,64914
2013,54501,56054,63556
2014,56758,58670,66490
2015,59243,61153,68368
2016,61401,62842,69919
2017,65814,64983,71740
2018,68657,67845,74855
2019,71717,70471,77289
